band,distance_km,name,city,district,address,phone,website,rating,reviews,type,status,maps,lat,lng,place_id
0–5 km,4.39,長頸鹿美語-平鎮文化分校 文化國小補習班推薦 課輔班 兒童美語 國小英文 國小美語 小一先修班 正音班 英檢班,桃園市,平鎮區,桃園市平鎮區復旦里文化街186號,03 493 1210,https://giraffe-pingzhen.weebly.com/,4.8,25,學校,OPERATIONAL,https://maps.google.com/?cid=14553044571440577840&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9525965,121.20314959999999,ChIJkUsY3bojaDQRMH0kse7M9sk
0–5 km,4.4,雅典音樂語文短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里文化街180號,03 493 5080,,1,1,學校,OPERATIONAL,https://maps.google.com/?cid=16844164562962163082&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.952707,121.20313399999999,ChIJ_xBk3bojaDQRiiWVAW1-wuk
0–5 km,4.41,奧斯汀美語 微思分校,桃園市,平鎮區,桃園市平鎮區復旦里復旦路二段150巷271號,03 494 0020,https://www.facebook.com/share/16r4j3onqR/?mibextid=wwXIfr,5,95,學校,OPERATIONAL,https://maps.google.com/?cid=16601075339749405021&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.953066399999997,121.2027249,ChIJUcxSeWcjaDQRXbFCsxDeYuY
0–5 km,4.47,奧斯汀美語中平分校(松勇校),桃園市,中壢區,桃園市中壢區過嶺里松勇路39號,03 420 0817,https://www.facebook.com/pages/category/Language-School/%E5%A5%A7%E6%96%AF%E6%B1%80%E7%BE%8E%E8%AA%9E%E4%B8%AD%E5%B9%B3%E5%88%86%E6%A0%A1-104044731308159/,4.3,29,教育機構,OPERATIONAL,https://maps.google.com/?cid=10465279855178388811&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9590128,121.1665328,ChIJ6YvNKx4laDQRS5X1spQkPJE
0–5 km,4.53,小學堂文教機構 | Live互動美語,桃園市,平鎮區,桃園市平鎮區復旦里文化街88號,03 281 0128,http://a99011240.jretc.net/index.html,4.9,121,學校,OPERATIONAL,https://maps.google.com/?cid=3332216936380614174&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.954159999999998,121.20300749999998,ChIJ82UTVrojaDQRHsaBF6ZpPi4
0–5 km,4.54,菲比斯英語,桃園市,中壢區,桃園市中壢區過嶺里松德路125號,03 420 5140,,5,6,學校,OPERATIONAL,https://maps.google.com/?cid=3584561199786145630&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.960269,121.1689743,ChIJdZNuAhMlaDQRXrfmXGvrvjE
0–5 km,4.56,建如文理補習班、MPM數學、空中美語文化分校,桃園市,平鎮區,桃園市平鎮區復旦里文化街72號,03 493 8800,https://www.facebook.com/English4u.wenhua/,4.7,16,學校,OPERATIONAL,https://maps.google.com/?cid=13242322295055546703&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9545066,121.2030132,ChIJLf8OUbojaDQRT3kFbvctxrc
0–5 km,4.57,明子園幼兒園/課後班/安親班/文化國小安親/美語安親/,桃園市,平鎮區,桃園市平鎮區復旦里文化街68巷6號,03 494 5172,,4.4,58,幼稚園,OPERATIONAL,https://maps.google.com/?cid=2680290247858276349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9547973,121.2027349,ChIJz8KGTbojaDQR_UeJlsdNMiU
0–5 km,4.59,大山美語文理補習班,桃園市,平鎮區,桃園市平鎮區北富里金陵路三段150巷2弄37-2號,03 458 9120,,3.8,5,學校,OPERATIONAL,https://maps.google.com/?cid=533073149369859255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9251418,121.22331439999998,ChIJBYcEsuQiaDQRtzx9ezTbZQc
0–5 km,4.6,小森林美語,桃園市,平鎮區,桃園市平鎮區復興里文化街61號,,,4.5,16,學校,OPERATIONAL,https://maps.google.com/?cid=7782109380727472788&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.954863699999997,121.20313230000001,ChIJd2ikT7ojaDQRlAJ_GUCb_2s
0–5 km,4.62,加大美語,桃園市,平鎮區,桃園市平鎮區復興里廣德街93號,03 492 2061,,3.5,8,學校,OPERATIONAL,https://maps.google.com/?cid=498693267709005322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9537682,121.2052329,ChIJzYodf7ojaDQRCo6sgeK26wY
0–5 km,4.75,錢老師語文音樂文理短期補習班,桃園市,平鎮區,桃園市平鎮區復興里復興街16號,0912 252 612,,4.8,20,學校,OPERATIONAL,https://maps.google.com/?cid=13339665974785607848&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9546125,121.20608750000001,ChIJmdzyl7AjaDQRqAh2CYcDILk
0–5 km,4.77,葛洛莉英語-平鎮校Ping Jen(文化國小 復旦國小 平興國小)平鎮兒童美語 平鎮英文補習班 平鎮美語 國小英文 國中英文 小一新生 高中英文,桃園市,平鎮區,桃園市平鎮區環南路66巷17弄14衖26號,03 494 8585,https://www.glo.com.tw/dist-pingzhen.html,5,757,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=2399269986938562045&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9552369,121.20545879999997,ChIJpbcUCrojaDQR_aW6W1frSyE
0–5 km,4.98,哥倫匹亞語文短期補習班,桃園市,龍潭區,桃園市龍潭區八德里梅龍路500號,03 489 1225,,,,學校,OPERATIONAL,https://maps.google.com/?cid=7218514729759551698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8770424,121.1912218,ChIJHRCxA5U8aDQR0jA-weZQLWQ
0–5 km,4.98,龍潭國際美語村,桃園市,龍潭區,桃園市龍潭區八德里梅龍路500號,03 489 1225,http://avi-school.org/,4.6,8,教育機構,OPERATIONAL,https://maps.google.com/?cid=11529937537228790462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8770424,121.1912218,ChIJHRCxA5U8aDQRvtr2FBqRAqA
5–10 km,5.0,薇閣語文短期補習班,桃園市,平鎮區,桃園市平鎮區北興里金陵路二段360號,03 457 0932,,3.6,20,學校,OPERATIONAL,https://maps.google.com/?cid=13716747757068378667&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.934987,121.22499330000001,ChIJCeWrj_giaDQRK2KyHWmtW74
5–10 km,5.04,吉的堡美語學校,桃園市,平鎮區,桃園市平鎮區北興里金陵路二段377-2號,03 428 8883,http://www.kidcastle.com.tw/,3.3,7,教育機構,OPERATIONAL,https://maps.google.com/?cid=14216718545497890770&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.935665999999998,121.225174,ChIJGQV1KlYiaDQR0h8cmDHuS8U
5–10 km,5.51,夏山美語,桃園市,龍潭區,桃園市龍潭區百年里百年五街43號,03 480 2263,https://summerhill-english.weebly.com/,5,3,學校,OPERATIONAL,https://maps.google.com/?cid=5288698627958463622&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.880239700000004,121.21032500000001,ChIJ8aW1CNw8aDQRhlyPo2E7ZUk
5–10 km,5.51,喬登美語(潛龍分校),桃園市,龍潭區,桃園市龍潭區烏樹林里中豐路418之1號,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=3701273717901327733&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8812835,121.21193050000001,ChIJkWOiRNk8aDQRdX3_E9aQXTM
5–10 km,5.81,快樂園語文文理短期補習班,桃園市,楊梅區,桃園市楊梅區上田里楊新路四段37巷3弄19號,03 288 9060,https://business.google.com/site/l/02286036876212200319?hl=zh-TW,5,4,學校,OPERATIONAL,https://maps.google.com/?cid=12688579145237639145&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9365856,121.12338,ChIJn0t_bTglaDQR6a9RcIHjFrA
5–10 km,7.6,吉的堡美語學校(中壢大崙分校),桃園市,中壢區,桃園市中壢區內厝里中正路四段70號,03 498 6090,https://4986090.topschool.tw/Home/Main,4.5,8,學校,OPERATIONAL,https://maps.google.com/?cid=5851113689963450877&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.988563,121.1809872,ChIJvRml4FchaDQR_VGyhuZUM1E
5–10 km,7.6,學匯語文文理數學補習班 大崙校,桃園市,中壢區,桃園市中壢區內厝里中正路四段66號,03 408 0369,https://www.facebook.com/p/%E5%AD%B8%E5%8C%AF%E6%96%87%E7%90%86%E8%A3%9C%E7%BF%92%E7%8F%AD-100057664171337/?locale=zh_TW,4.8,41,學校,OPERATIONAL,https://maps.google.com/?cid=11919443886743720693&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9885602,121.1810252,ChIJ_3EL0sEhaDQR9ZKPJRBfaqU
5–10 km,7.61,奇飛美語珠算短期補習班,桃園市,中壢區,桃園市中壢區內厝里中正路四段85號2樓,03 498 0101,,,,學校,OPERATIONAL,https://maps.google.com/?cid=12245866672060643921&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.988681099999997,121.18035710000001,ChIJFeln2FchaDQRUTr4WtsO8qk
5–10 km,7.63,長頸鹿美語大崙分校,桃園市,中壢區,桃園市中壢區內厝里中正路四段107號,03 498 0101,https://giraffe-dayuan.weebly.com/,4.9,76,學校,OPERATIONAL,https://maps.google.com/?cid=9762046047280206172&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9888525,121.1799643,ChIJ_9rK4RIjaDQRXJEkkSjBeYc
5–10 km,7.65,碩成常春藤英語大崙校,桃園市,中壢區,桃園市中壢區中正路四段88巷8號,03 498 4115,https://m.facebook.com/pages/category/Test-Preparation-Center/%E7%A2%A9%E6%88%90%E5%B8%B8%E6%98%A5%E8%97%A4%E8%8B%B1%E8%AA%9E%E5%A4%A7%E5%B4%99%E6%A0%A1-106843587572797/,4,21,學校,OPERATIONAL,https://maps.google.com/?cid=4729929452937876402&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9889869,121.1809663,ChIJJ6fSY-khaDQRshMF98YVpEE
5–10 km,7.65,挪亞美語作文短期補習班,桃園市,龍潭區,桃園市龍潭區武漢里國聯街21號,03 499 6048,,,,學校,OPERATIONAL,https://maps.google.com/?cid=15215221383339262651&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8726177,121.232911,ChIJs2eyNDw9aDQRu0LdBDxTJ9M
5–10 km,7.75,逸薇美語短期補習班,桃園市,龍潭區,桃園市龍潭區武漢里武漢路50號,03 499 0697,,5,1,學校,OPERATIONAL,https://maps.google.com/?cid=2784987015485436370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.872528499999998,121.23412759999998,ChIJoydigD49aDQR0rEVYu9CpiY
5–10 km,7.84,長頸鹿美語(武漢分校),桃園市,龍潭區,桃園市龍潭區武漢里武漢路86號,03 489 0689,,3.9,18,學校,OPERATIONAL,https://maps.google.com/?cid=3710036910781997703&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.871601599999998,121.23440380000001,ChIJZ7cncT49aDQRh6K_6umyfDM
5–10 km,7.94,艾立笙文理語文短期補習班,桃園市,龍潭區,桃園市龍潭區中正里龍華路365號,03 409 0901,,1,1,學校,OPERATIONAL,https://maps.google.com/?cid=12688028577401609648&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8584657,121.21760599999999,ChIJC1o-FwI9aDQRsB0HYMTuFLA
5–10 km,8.52,王莉美語安親中心,桃園市,楊梅區,桃園市楊梅區,,,3.8,4,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17659105423038208687&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8999594,121.09665840000001,ChIJib8S35U6aDQRr9pd_9G-EfU
5–10 km,8.67,冠球語文珠算短期補習班,桃園市,中壢區,桃園市中壢區仁愛里榮民南路224號,03 466 8629,,5,2,學校,OPERATIONAL,https://maps.google.com/?cid=4957700772940780852&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9524939,121.25640329999999,ChIJbxsKfQwiaDQRNJXQAZZKzUQ
5–10 km,8.93,科林外語,桃園市,中壢區,桃園市中壢區華愛里榮民南路83號,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=5360159746373528869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9549929,121.25796489999999,ChIJyfDAXAkiaDQRJS3x1eMcY0o
5–10 km,9.28,邱老師美語短期補習班,桃園市,新屋區,桃園市新屋區新屋里新興街11號,0926 941 955,,5,4,學校,OPERATIONAL,https://maps.google.com/?cid=10841667619523414826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9722627,121.1061862,ChIJW3d7FqMlaDQRKkuMIkJXdZY
5–10 km,9.43,小學堂美語短期補習班,桃園市,新屋區,桃園市新屋區新屋里中正一街26巷7號,03 477 1886,,5,1,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17132230300581656515&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9738777,121.10573230000001,ChIJXV06LaMlaDQRw3daHLDowe0
5–10 km,9.45,維吉尼亞文理語文短期補習班,桃園市,楊梅區,桃園市楊梅區豐野里民富路三段924巷7號,03 472 7887,,,,學校,OPERATIONAL,https://maps.google.com/?cid=17301286997401734467&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.93534,121.08592,ChIJmZ4VpVAlaDQRQw03pduEGvA
5–10 km,9.54,威齊語文短期補習班,桃園市,新屋區,桃園市新屋區新生里新生五街8號2樓,03 477 9789,,,,學校,OPERATIONAL,https://maps.google.com/?cid=16211324136502453195&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9745228,121.10485270000001,ChIJU4KeK70laDQRy-PxLmkx-uA
5–10 km,9.89,青宏美語珠心算短期補習班,桃園市,大溪區,桃園市大溪區三元里三元三街14號,03 390 9931,,,,學校,OPERATIONAL,https://maps.google.com/?cid=5685864498803722242&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.882619,121.26700600000001,ChIJHVmMQv8XaDQRAkgz_KI_6E4
5–10 km,9.89,馬林魚美語文理短期補習班,桃園市,楊梅區,桃園市楊梅區豐野里信義街231號,03 472 1249,https://m.facebook.com/%E9%A6%AC%E6%9E%97%E9%AD%9A%E8%A3%9C%E7%BF%92%E7%8F%AD-169022626596685/?ref=bookmarks,3.7,3,學校,OPERATIONAL,https://maps.google.com/?cid=1731807927207520159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.936887,121.08174229999999,ChIJwYObKVglaDQRn-doYCKeCBg
10–15 km,10.06,茗雅文理美語短期補習班,桃園市,大溪區,桃園市大溪區光明里三元一街31號,03 389 2327,,,,學校,OPERATIONAL,https://maps.google.com/?cid=16531274705841816831&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.884108299999998,121.2696086,ChIJwZoSFQIYaDQR_wQaLsLiauU
10–15 km,10.1,文佑語文文理數學短期補習班,桃園市,大溪區,桃園市大溪區光明里三元一街49號,03 390 9559,,5,2,學校,OPERATIONAL,https://maps.google.com/?cid=17602456463571825247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8840219,121.26998940000001,ChIJeeljagIYaDQRXzJ6TeR8SPQ
10–15 km,10.23,Live互動美語中壢青埔加盟校/同學家(翻轉課後),桃園市,中壢區,桃園市中壢區青埔里青商路56號1樓,03 287 8978,https://www.facebook.com/Liveabcahomefromhome,,,學校,OPERATIONAL,https://maps.google.com/?cid=4238158386200350127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.005275100000002,121.21688770000002,ChIJn_2HlkohaDQRr41Q95j20Do
10–15 km,10.29,夏恩英語桃園大溪分校,桃園市,大溪區,"號 No, No. 142仁善三街仁善里大溪區桃園市335",03 390 0868,https://www.facebook.com/RachelsEnglishSchool/?ref=aymt_homepage_panel,5,63,學校,OPERATIONAL,https://maps.google.com/?cid=17973680515661347222&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.907762299999998,121.27925259999999,ChIJQX4Prm4YaDQRlrlaSjNXb_k
10–15 km,10.49,奧斯汀美語桃園八德分校,桃園市,八德區,桃園市八德區中正路178號1樓,03 368 2584,https://reurl.cc/j9NgYy,4.7,3,學校,OPERATIONAL,https://maps.google.com/?cid=10352962592592293844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9274676,121.28189440000001,ChIJjRoIkWUZaDQR1O9eKKAcrY8
10–15 km,10.55,日進文理語文短期補習班,桃園市,龍潭區,桃園市龍潭區建林里民族路216巷16弄3號,03 470 4629,,,,學校,OPERATIONAL,https://maps.google.com/?cid=11512969066118304067&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8405196,121.23477779999999,ChIJEcHDnKM9aDQRQ9EKCF5Ixp8
10–15 km,10.58,耕心幼兒園 【愛美語 仁善分校】安親班、美語班、補習班、正音班,桃園市,大溪區,桃園市大溪區仁善里仁德七街35號,03 380 7073,https://reurl.cc/XE0k2M,5,4,幼稚園,OPERATIONAL,https://maps.google.com/?cid=15402730174840453911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9145513,121.28289050000001,ChIJ9YLcWtcZaDQRFzuOonx9wdU
