band,distance_km,name,reg_name,city,district,address,phone,email,website,rating,reviews,size_tier,seats_at_once,approved_capacity,approved_capacity_en,n_classes,classrooms,classroom_m2,building_m2,n_teachers,category,licensed_on,principal,director,match,reg_id,type,status,maps,lat,lng,place_id
0–5 km,3.56,喬立安美語Joanne’s Language Program,私立喬立安美語短期補習班,桃園市,楊梅區,桃園市楊梅區楊江里大平街85號,03 485 4477,angelahsieh@qq.com,https://www.facebook.com/joannestw,4.6,10,小型,34,68,68,2,1,38.25,120.5,4,外語類,2008-06-04,謝幼珍,謝幼珍,address,33200807220002,學校,OPERATIONAL,https://maps.google.com/?cid=11250750969546028302&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.910933099999998,121.1444006,ChIJeVfwshg7aDQRDjUs1GWyIpw
0–5 km,3.61,空中美語兒童美語 佶林文理短期補習班,私立佶林文理短期補習班,桃園市,楊梅區,桃園市楊梅區楊江里大平街126號,03 485 4778,m875205@yahoo.com.tw,,4.4,19,小型,30,122,30,12,3,39.98,107.7,8,外語類,2004-05-25,黃瓅靚,黃瓅靚,address,33200406250004,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=17027078322080113698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9110952,121.1438123,ChIJvZ2PuDQ7aDQRIuRWRoVVTOw
0–5 km,3.66,凱思英語短期補習班,私立凱思英語文理短期補習班,桃園市,楊梅區,桃園市楊梅區永寧里永寧路一巷6號,03 485 4650,ksenglish05@gmail.com,https://www.facebook.com/ksenglishlanguageschool/,4.3,24,小型,24,216,75,26,3,31.0,77.73,10,外語類,2014-12-29,王敏而,明道增,phone,33201501270001,學校,OPERATIONAL,https://maps.google.com/?cid=5314190711464383295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9031639,121.1471083,ChIJ3So4zTc7aDQRP9OD2UvMv0k
0–5 km,3.68,群勵文理美語補習班,私立群勵文理美語短期補習班,桃園市,楊梅區,桃園市楊梅區永寧里永寧路17巷2號,03 488 0637,,,5,5,小型,30,72,30,5,2,41.02,72.75,3,"文理類,外語類",2007-01-08,曾倩敏,曾倩敏,address,33200701110001,學校,OPERATIONAL,https://maps.google.com/?cid=1572116877325483114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.903121799999997,121.14697640000001,ChIJF-wC9b07aDQRarxhcvhH0RU
0–5 km,3.85,喬登美語(祥安分校),私立尼恩語文文理短期補習班,桃園市,平鎮區,桃園市平鎮區湧安里湧安路44號,03 419 2435,ange198100@yahoo.com.tw,http://www.nean-nei.com.tw/,4.8,41,小型,32,186,80,12,2,36.15,109.63,4,"文理類,外語類",2013-05-15,王錦慧,張國樑,phone,33201306140001,學校,OPERATIONAL,https://maps.google.com/?cid=9307923240357268090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.894544,121.20374400000001,ChIJ9TFbvM08aDQRegoZIt9iLIE
0–5 km,4.35,佑育語文文理短期補習班,,桃園市,楊梅區,桃園市楊梅區新榮里富榮路15號2樓,03 490 6733,,,5,2,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=6354447563662897004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9568194,121.16269410000001,ChIJr2floXskaDQRbC_5T2SIL1g
0–5 km,4.39,長頸鹿美語-平鎮文化分校 文化國小補習班推薦 課輔班 兒童美語 國小英文 國小美語 小一先修班 正音班 英檢班,私立卓越大文理短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里文化街186號,03 493 1210,jingjing1155@yahoo.com.tw,https://giraffe-pingzhen.weebly.com/,4.8,25,小型,30,30,,2,2,30.04,132.1,1,文理類,2009-07-06,胡菁芬,胡菁芬,address,33201111020001,學校,OPERATIONAL,https://maps.google.com/?cid=14553044571440577840&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9525965,121.20314959999999,ChIJkUsY3bojaDQRMH0kse7M9sk
0–5 km,4.4,雅典音樂語文短期補習班,私立雅典音樂語文短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里文化街180號,03 493 5080,yinyizu@yahoo.com.tw,,1,1,大型,270,270,90,9,9,67.31,115.54,1,"外語類,音樂、舞蹈類",2006-12-22,鄞薏如,鄞薏如,address,33200612290001,學校,OPERATIONAL,https://maps.google.com/?cid=16844164562962163082&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.952707,121.20313399999999,ChIJ_xBk3bojaDQRiiWVAW1-wuk
0–5 km,4.41,奧斯汀美語 微思分校,私立微思文理短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里復旦路二段150巷271號,03 494 0020,blli8216@yahoo.com.tw,https://www.facebook.com/share/16r4j3onqR/?mibextid=wwXIfr,5,95,小型,48,148,96,12,4,59.98,138.34,2,文理類,2025-04-30,廖偉宏,廖偉宏,address,33202505020002,學校,OPERATIONAL,https://maps.google.com/?cid=16601075339749405021&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.953066399999997,121.2027249,ChIJUcxSeWcjaDQRXbFCsxDeYuY
0–5 km,4.47,奧斯汀美語中平分校(松勇校),私立睿儀文理短期補習班,桃園市,中壢區,桃園市中壢區過嶺里松勇路39號,03 420 0817,shm7415@gmail.com,https://www.facebook.com/pages/category/Language-School/%E5%A5%A7%E6%96%AF%E6%B1%80%E7%BE%8E%E8%AA%9E%E4%B8%AD%E5%B9%B3%E5%88%86%E6%A0%A1-104044731308159/,4.3,29,小型,56,117,74,8,4,70.62,158.28,7,"文理類,外語類",2023-04-27,許惠敏,王奕翔,address,33202304280001,教育機構,OPERATIONAL,https://maps.google.com/?cid=10465279855178388811&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9590128,121.1665328,ChIJ6YvNKx4laDQRS5X1spQkPJE
0–5 km,4.53,小學堂文教機構 | Live互動美語,私立世一語文數學短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里文化街88號,03 281 0128,julie_hmm@yahoo.com.tw,http://a99011240.jretc.net/index.html,4.9,121,小型,36,60,24,5,3,44.88,175.56,1,"外語類,其他類",2014-05-06,黃美寧,黃慶豊,phone,33201407140002,學校,OPERATIONAL,https://maps.google.com/?cid=3332216936380614174&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.954159999999998,121.20300749999998,ChIJ82UTVrojaDQRHsaBF6ZpPi4
0–5 km,4.54,菲比斯英語,私立菲比斯文理短期補習班,桃園市,中壢區,桃園市中壢區過嶺里松德路125號,03 420 5140,joanne750312@gmail.com,,5,6,小型,34,153,68,9,2,42.47,146.67,2,文理類,2022-11-22,鍾瑞敏,黃俊偉,address,33202212080001,學校,OPERATIONAL,https://maps.google.com/?cid=3584561199786145630&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.960269,121.1689743,ChIJdZNuAhMlaDQRXrfmXGvrvjE
0–5 km,4.56,建如文理補習班、MPM數學、空中美語文化分校,私立建如語文文理珠心算短期補習班,桃園市,平鎮區,桃園市平鎮區復旦里文化街72號,03 493 8800,cw.c224@msa.hinet.net,https://www.facebook.com/English4u.wenhua/,4.7,16,中型,590,708,118,6,5,119.22,210.87,6,"文理類,外語類",2008-10-09,張謙旺,張謙旺,address,33200810280003,學校,OPERATIONAL,https://maps.google.com/?cid=13242322295055546703&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9545066,121.2030132,ChIJLf8OUbojaDQRT3kFbvctxrc
0–5 km,4.57,明子園幼兒園/課後班/安親班/文化國小安親/美語安親/,,桃園市,平鎮區,桃園市平鎮區復旦里文化街68巷6號,03 494 5172,,,4.4,58,,,,,,,,,,,,,,,,幼稚園,OPERATIONAL,https://maps.google.com/?cid=2680290247858276349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9547973,121.2027349,ChIJz8KGTbojaDQR_UeJlsdNMiU
0–5 km,4.59,大山美語文理補習班,私立大山美語文理短期補習班,桃園市,平鎮區,桃園市平鎮區北富里金陵路三段150巷2弄37-2號,03 458 9120,a0920138250@gmail.com,,3.8,5,小型,48,52,24,4,4,67.2,180.97,1,"文理類,外語類",2008-09-28,魏奕萱,劉效謙,phone,33200810280005,學校,OPERATIONAL,https://maps.google.com/?cid=533073149369859255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9251418,121.22331439999998,ChIJBYcEsuQiaDQRtzx9ezTbZQc
0–5 km,4.6,小森林美語,私立小森林美語短期補習班,桃園市,平鎮區,桃園市平鎮區復興里文化街61號,,sherrybennykammy71@gmail.com,,4.5,16,中型,76,76,76,4,4,73.27,239.62,3,外語類,2002-10-24,鍾木昌,林佳慧,name,33200208200005,學校,OPERATIONAL,https://maps.google.com/?cid=7782109380727472788&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.954863699999997,121.20313230000001,ChIJd2ikT7ojaDQRlAJ_GUCb_2s
0–5 km,4.62,加大美語,私立加大美語珠心算短期補習班,桃園市,平鎮區,桃園市平鎮區復興里廣德街93號,03 492 2061,chiata1688@gmail.com,,3.5,8,小型,45,45,30,3,3,57.51,104.26,2,"外語類,商類：珠算、心算、會計",2001-03-09,黃儷仁,黃儷仁,address,33200208210013,學校,OPERATIONAL,https://maps.google.com/?cid=498693267709005322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9537682,121.2052329,ChIJzYodf7ojaDQRCo6sgeK26wY
0–5 km,4.75,錢老師語文音樂文理短期補習班,私立錢老師語文音樂文理短期補習班,桃園市,平鎮區,桃園市平鎮區復興里復興街16號,0912 252 612,s966928@gmail.com,,4.8,20,小型,74,72,23,4,4,88.42,178.97,1,"文理類,外語類",2014-11-18,錢曉昱,錢曉昱,address,33201412250003,學校,OPERATIONAL,https://maps.google.com/?cid=13339665974785607848&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9546125,121.20608750000001,ChIJmdzyl7AjaDQRqAh2CYcDILk
0–5 km,4.77,葛洛莉英語-平鎮校Ping Jen(文化國小 復旦國小 平興國小)平鎮兒童美語 平鎮英文補習班 平鎮美語 國小英文 國中英文 小一新生 高中英文,私立春華英語會話短期補習班,桃園市,平鎮區,桃園市平鎮區環南路66巷17弄14衖26號,03 494 8585,annachang1129@gmail.com,https://www.glo.com.tw/dist-pingzhen.html,5,757,大型,105,105,105,7,7,147.25,710.16,21,外語類,2002-08-30,張國俐,廖俊傑,address,33200301220007,兒童照護機構,OPERATIONAL,https://maps.google.com/?cid=2399269986938562045&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9552369,121.20545879999997,ChIJpbcUCrojaDQR_aW6W1frSyE
0–5 km,4.98,哥倫匹亞語文短期補習班,私立龍科國際美語村文理短期補習班,桃園市,龍潭區,桃園市龍潭區八德里梅龍路500號,03 489 1225,mikechang@arthouses.com.tw,,,,大型,132,191,92,6,4,147.84,552.25,1,"文理類,外語類",2024-01-31,張乃元,張乃元,address,33202402160001,學校,OPERATIONAL,https://maps.google.com/?cid=7218514729759551698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8770424,121.1912218,ChIJHRCxA5U8aDQR0jA-weZQLWQ
0–5 km,4.98,龍潭國際美語村,私立龍科國際美語村文理短期補習班,桃園市,龍潭區,桃園市龍潭區八德里梅龍路500號,03 489 1225,mikechang@arthouses.com.tw,http://avi-school.org/,4.6,8,大型,132,191,92,6,4,147.84,552.25,1,"文理類,外語類",2024-01-31,張乃元,張乃元,address,33202402160001,教育機構,OPERATIONAL,https://maps.google.com/?cid=11529937537228790462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8770424,121.1912218,ChIJHRCxA5U8aDQRvtr2FBqRAqA
5–10 km,5.0,薇閣語文短期補習班,私立薇閣語文短期補習班,桃園市,平鎮區,桃園市平鎮區北興里金陵路二段360號,03 457 0932,amilus326@gmail.com,,3.6,20,小型,78,84,20,3,3,67.21,120.61,3,外語類,2010-12-21,杜壹岳,邱佩玲,address,33201103080002,學校,OPERATIONAL,https://maps.google.com/?cid=13716747757068378667&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.934987,121.22499330000001,ChIJCeWrj_giaDQRK2KyHWmtW74
5–10 km,5.04,吉的堡美語學校,私立聖儒美語短期補習班,桃園市,平鎮區,桃園市平鎮區北興里金陵路二段377-2號,03 428 8883,deep322611@yahoo.com.tw,http://www.kidcastle.com.tw/,3.3,7,小型,38,38,38,2,2,47.52,155.16,5,外語類,2006-05-11,徐毓惠,徐毓惠,address,33200612220006,教育機構,OPERATIONAL,https://maps.google.com/?cid=14216718545497890770&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.935665999999998,121.225174,ChIJGQV1KlYiaDQR0h8cmDHuS8U
5–10 km,5.51,夏山美語,私立夏山美語短期補習班,桃園市,龍潭區,桃園市龍潭區百年里百年五街43號,03 480 2263,,https://summerhill-english.weebly.com/,5,3,小型,48,48,48,2,2,41.06,96.96,1,外語類,2016-07-19,范采綺,范采綺,address,33201608100001,學校,OPERATIONAL,https://maps.google.com/?cid=5288698627958463622&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.880239700000004,121.21032500000001,ChIJ8aW1CNw8aDQRhlyPo2E7ZUk
5–10 km,5.51,喬登美語(潛龍分校),,桃園市,龍潭區,桃園市龍潭區烏樹林里中豐路418之1號,,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=3701273717901327733&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8812835,121.21193050000001,ChIJkWOiRNk8aDQRdX3_E9aQXTM
5–10 km,5.81,快樂園語文文理短期補習班,私立快樂園語文文理短期補習班,桃園市,楊梅區,桃園市楊梅區上田里楊新路四段37巷3弄19號,03 288 9060,happy370319@gmail.com,https://business.google.com/site/l/02286036876212200319?hl=zh-TW,5,4,小型,58,58,16,4,4,71.44,153.88,4,"文理類,外語類",2010-09-16,蘇少庠,蘇少庠,address,33201010150001,學校,OPERATIONAL,https://maps.google.com/?cid=12688579145237639145&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9365856,121.12338,ChIJn0t_bTglaDQR6a9RcIHjFrA
5–10 km,7.6,吉的堡美語學校(中壢大崙分校),,桃園市,中壢區,桃園市中壢區內厝里中正路四段70號,03 498 6090,,https://4986090.topschool.tw/Home/Main,4.5,8,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=5851113689963450877&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.988563,121.1809872,ChIJvRml4FchaDQR_VGyhuZUM1E
5–10 km,7.6,學匯語文文理數學補習班 大崙校,私立學匯語文文理數學短期補習班大崙分班,桃園市,中壢區,桃園市中壢區內厝里中正路四段66號,03 408 0369,sharewe112010@yahoo.com.tw,https://www.facebook.com/p/%E5%AD%B8%E5%8C%AF%E6%96%87%E7%90%86%E8%A3%9C%E7%BF%92%E7%8F%AD-100057664171337/?locale=zh_TW,4.8,41,中型,104,219,52,10,4,104.14,214.14,1,"文理類,外語類,其他類",2021-09-01,廖楷文,廖麒文,address,33202109070001,學校,OPERATIONAL,https://maps.google.com/?cid=11919443886743720693&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9885602,121.1810252,ChIJ_3EL0sEhaDQR9ZKPJRBfaqU
5–10 km,7.61,奇飛美語珠算短期補習班,私立祥耀文理短期補習班,桃園市,中壢區,桃園市中壢區內厝里中正路四段85號2樓,03 498 0101,a0916826998@gmail.com,,,,小型,46,368,146,16,2,56.26,151.38,5,"文理類,外語類",2023-04-27,林玲瓏,林鈴蓁,phone,33202304280002,學校,OPERATIONAL,https://maps.google.com/?cid=12245866672060643921&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.988681099999997,121.18035710000001,ChIJFeln2FchaDQRUTr4WtsO8qk
5–10 km,7.63,長頸鹿美語大崙分校,私立祥耀文理短期補習班,桃園市,中壢區,桃園市中壢區內厝里中正路四段107號,03 498 0101,a0916826998@gmail.com,https://giraffe-dayuan.weebly.com/,4.9,76,小型,46,368,146,16,2,56.26,151.38,5,"文理類,外語類",2023-04-27,林玲瓏,林鈴蓁,address,33202304280002,學校,OPERATIONAL,https://maps.google.com/?cid=9762046047280206172&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9888525,121.1799643,ChIJ_9rK4RIjaDQRXJEkkSjBeYc
5–10 km,7.65,碩成常春藤英語大崙校,私立碩成文理語文數學美術短期補習班,桃園市,中壢區,桃園市中壢區中正路四段88巷8號,03 498 4115,a0920231915@gmail.com,https://m.facebook.com/pages/category/Test-Preparation-Center/%E7%A2%A9%E6%88%90%E5%B8%B8%E6%98%A5%E8%97%A4%E8%8B%B1%E8%AA%9E%E5%A4%A7%E5%B4%99%E6%A0%A1-106843587572797/,4,21,中型,105,242,83,11,5,136.79,250.26,14,"文理類,外語類,美術、書法、攝影、美工設計、圍棋類",2019-06-26,王順仁,王順仁,address,33201907040001,學校,OPERATIONAL,https://maps.google.com/?cid=4729929452937876402&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.9889869,121.1809663,ChIJJ6fSY-khaDQRshMF98YVpEE
5–10 km,7.65,挪亞美語作文短期補習班,,桃園市,龍潭區,桃園市龍潭區武漢里國聯街21號,03 499 6048,,,,,,,,,,,,,,,,,,,,學校,OPERATIONAL,https://maps.google.com/?cid=15215221383339262651&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.8726177,121.232911,ChIJs2eyNDw9aDQRu0LdBDxTJ9M
5–10 km,7.75,逸薇美語短期補習班,私立逸薇美語短期補習班,桃園市,龍潭區,桃園市龍潭區武漢里武漢路50號,03 499 0697,h220378652@yahoo.com.tw,,5,1,小型,29,58,58,2,1,35.45,45.5,1,外語類,2006-06-23,潘芸菲,游家偉,address,33200612210010,學校,OPERATIONAL,https://maps.google.com/?cid=2784987015485436370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.872528499999998,121.23412759999998,ChIJoydigD49aDQR0rEVYu9CpiY
5–10 km,7.84,長頸鹿美語(武漢分校),私立阿里巴巴美語短期補習班,桃園市,龍潭區,桃園市龍潭區武漢里武漢路86號,03 489 0689,lydia0958010300@gmail.com,,3.9,18,小型,120,120,120,4,4,57.95,147.25,1,外語類,2004-09-07,郝蓓生,郝蓓生,address,33200609130001,學校,OPERATIONAL,https://maps.google.com/?cid=3710036910781997703&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.871601599999998,121.23440380000001,ChIJZ7cncT49aDQRh6K_6umyfDM
